A01nficha;A01uf;localidade;setor_distrito;morador_id;index;idade_calculada;E02_1;E02_2;E02_3;E03;E03_1;E03_1_1;E03_2;E03_2_1;E04;E04_1;E04_1_1;E05;E06;E06_1;E07;E08;E08_1;E09;E10;E11;E12;E13;E14;E15_A;E15_B;E15_1;E16;E16_1;E17;E18;E19;E19_1;E20;E20_1;E21;E22;E22_1;F01;F02;F03_1;F03_2;F04;F05_1;F05_2;F05_3;F05_4;G01;G02;G03;G04;G05;G06;G06_1;G06_2;H01;H02;H03;H04_1;H04_2;H04_3;H04_4;H05_1;H05_2;H05_3;H05_4;H05_5;H05_6;H05_7;H05_8;H05_9;H05_10;H05_11;H06;H07;H08;H09;H10;H11;H12;H13;I01;I02;I03_1;I03_1_1;I03_1_1_r;I03_2;I03_2_1;I03_2_1_r;I04;I05;I05_1;I06;I07;I08;I09_1;I09_2;I09_3;I09_4;I09_5;I09_6;I09_7;I09_8;I09_9;I10;I13;I14;I15;I16;I18;I19;I20;I20_r;I21;I21_r;I22_1;I22_1_r;I22_2;I22_2_r;I23;renda_ind;renda_ind_r;infla_ipcadf;id_genero;orientacao_sx;lgbtqiam;escolaridade;peso_mor
3969;53;5310;13;03969-1;1;39;99999;99999;39;1;1;99999;5;99999;1;99999;99999;2;12;99999;1;3;99999;1;4;4;4;4;4;76;53;7653;2;1;99999;2;99999;99999;99999;765313;1;99999;99999;0;1;0;1;1;1;1;1;2;2;99999;99999;99999;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;15;1;4;2;2;2;99999;99999;2;99999;99999;1;10;0;40;1;1;2;1;2;2;2;2;2;99999;2;1;1;1;99999;99999;99999;1;0;0;88888;99999;99999;99999;88888;99999;0;99999;99999;0,982195674;1;2;2;7;151,4683589
22501;53;5310;13;22501-1;1;68;1955-05-05;99999;99999;1;1;99999;10;99999;1;99999;99999;1;11;99999;5;2;99999;1;4;4;4;4;4;76;35;76353830;99999;99999;64;54;7653;99999;7653;5310;1;99999;99999;1;0;0;1;1;2;1;2;2;1;1;4;10;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;1;6029;6184,325244;1;4021;102575,2762;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;0;10050;10308,91834;0,974884044;1;2;2;5;85,37355279
6694;53;5310;13;06694-4;4;4;2019-09-10;99999;99999;1;99999;99999;99999;99999;4;99999;99999;1;1;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5310;99999;99999;99999;0;0;0;0;1;2;1;2;2;2;99999;99999;99999;1;99999;99999;99999;99999;1;99999;2;1;2;1;2;2;2;2;1;2;2;2;2;99999;5;2;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0,989671705;99999;99999;99999;1;171,1753623
21470;53;5310;13;21470-3;3;87;99999;99999;87;1;1;99999;5;99999;8;99999;99999;1;1;99999;5;3;99999;1;4;4;4;4;4;76;29;76292140;99999;99999;68;68;99999;99999;7653;5310;1;2;99999;0;0;0;0;2;99999;99999;99999;99999;1;1;4;16;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;15;1;4;2;2;1;10000;10181,27066;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;0;10000;10181,27066;0,982195674;1;2;2;7;72,46926518
12835;53;5310;13;12835-2;2;45;1978-05-22;99999;99999;2;2;99999;5;99999;5;99999;99999;1;1;99999;1;2;99999;1;4;4;4;4;4;76;53;7653;2;1;99999;6;99999;765315;99999;5310;2;2;99999;1;0;0;1;1;1;1;2;2;1;2;4;1;1;1;3;18;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;88888;2;2;2;99999;99999;2;99999;99999;1;25;0;88888;3;29;2;1;2;2;2;2;2;99999;2;1;3;99999;99999;99999;1;1;88888;99999;0;0;99999;99999;88888;99999;0;99999;99999;0,989671705;1;2;2;7;137,5700408
12427;53;5310;13;12427-3;3;89;99999;99999;89;2;2;99999;5;99999;8;99999;99999;1;1;99999;2;1;12427-2;2;2;4;2;4;4;76;29;76290800;99999;99999;55;30;7653;99999;7653;5310;1;2;99999;0;0;1;0;2;99999;99999;99999;99999;2;99999;99999;99999;1;1;1;20;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;13;1;99999;2;2;1;1302;1330,735495;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;15;1302;1330,735495;0,978406306;1;2;2;5;63,34787489
21988;53;5310;13;21988-2;2;25;99999;99999;25;1;1;99999;5;99999;5;99999;99999;4;12;99999;1;3;99999;1;3;4;4;4;4;76;53;7653;2;1;99999;7;99999;99999;99999;5310;1;2;99999;0;1;0;1;1;1;1;1;2;1;2;4;11;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;12;1;1;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;0;0;0;0,974884044;1;2;2;7;205,6621276
17440;53;5310;13;17440-2;2;31;99999;99999;31;1;1;99999;5;99999;5;99999;99999;1;1;99999;1;3;99999;1;4;4;4;4;4;76;53;7653;2;2;99999;99999;99999;99999;99999;5301;99999;2;99999;1;0;0;1;1;1;1;1;1;1;1;1;0;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;1;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;88888;99999;88888;99999;99999;0,996412914;1;2;2;7;141,7407691
5795;53;5310;13;05795-3;3;40;99999;99999;40;1;1;99999;5;99999;14;99999;99999;4;1;99999;2;1;05795-2;1;4;4;4;4;4;76;29;76292740;99999;99999;3;3;7629;76292740;7629;76292740;1;2;99999;1;0;0;1;1;1;1;1;2;2;99999;99999;99999;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;10;2;2;2;99999;99999;2;99999;99999;1;3;0;40;1;1;2;1;2;2;2;2;2;99999;2;1;1;1;99999;99999;99999;1;30000;30313,08245;0;0;99999;99999;88888;99999;10;99999;99999;0,989671705;1;2;2;7;123,619928
6988;53;5310;13;06988-1;1;61;1962-08-20;99999;99999;2;2;99999;5;99999;1;99999;99999;4;4;99999;5;2;99999;2;3;4;4;4;4;76;22;76220370;99999;99999;40;15;7653;99999;7653;5310;8;99999;99999;1;0;0;1;1;1;1;2;2;2;99999;99999;99999;2;2;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;2;99999;99999;2;99999;99999;1;30;0;40;1;58;1;2;2;2;2;2;2;99999;1;99999;7;99999;1;1;99999;1;1800;1818,784947;0;0;99999;99999;88888;99999;28;99999;99999;0,989671705;1;2;2;5;96,41374024
