A01nficha;A01uf;localidade;setor_distrito;morador_id;index;idade_calculada;E02_1;E02_2;E02_3;E03;E03_1;E03_1_1;E03_2;E03_2_1;E04;E04_1;E04_1_1;E05;E06;E06_1;E07;E08;E08_1;E09;E10;E11;E12;E13;E14;E15_A;E15_B;E15_1;E16;E16_1;E17;E18;E19;E19_1;E20;E20_1;E21;E22;E22_1;F01;F02;F03_1;F03_2;F04;F05_1;F05_2;F05_3;F05_4;G01;G02;G03;G04;G05;G06;G06_1;G06_2;H01;H02;H03;H04_1;H04_2;H04_3;H04_4;H05_1;H05_2;H05_3;H05_4;H05_5;H05_6;H05_7;H05_8;H05_9;H05_10;H05_11;H06;H07;H08;H09;H10;H11;H12;H13;I01;I02;I03_1;I03_1_1;I03_1_1_r;I03_2;I03_2_1;I03_2_1_r;I04;I05;I05_1;I06;I07;I08;I09_1;I09_2;I09_3;I09_4;I09_5;I09_6;I09_7;I09_8;I09_9;I10;I13;I14;I15;I16;I18;I19;I20;I20_r;I21;I21_r;I22_1;I22_1_r;I22_2;I22_2_r;I23;renda_ind;renda_ind_r;infla_ipcadf;id_genero;orientacao_sx;lgbtqiam;escolaridade;peso_mor
12163;52;5241;43;12163-1;1;52;99999;99999;52;1;1;99999;10;99999;1;1;12163-2;1;12;99999;2;1;12163-2;1;4;3;4;4;4;76;23;76230440;99999;99999;13;13;99999;99999;7652;5241;6;2;99999;1;0;1;0;1;1;1;1;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;6;2;2;2;99999;99999;2;99999;99999;1;2;0;36;1;2;2;1;2;2;2;2;2;99999;2;5;3;99999;99999;99999;1;1;88888;99999;0;0;99999;99999;88888;99999;7;99999;99999;0,989671705;1;2;2;7;151,9940336
5666;52;5241;43;05666-3;3;27;1996-11-11;99999;99999;2;2;99999;8;99999;4;99999;99999;4;1;99999;1;3;99999;2;4;4;4;4;4;76;53;7653;99999;99999;20;20;99999;99999;7652;5241;1;88888;99999;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;2;1;1;18;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;10;1;1;2;99999;99999;2;99999;99999;1;0;6;40;1;3;1;2;2;2;2;2;2;99999;1;6;3;99999;99999;99999;1;1;1412;1421,901283;0;0;99999;99999;88888;99999;14;99999;99999;0,993036589;1;2;2;7;210,7845276
836;52;5241;43;00836-4;4;9;2014-09-07;99999;99999;1;99999;99999;99999;99999;4;99999;99999;4;12;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;99999;99999;9;9;99999;99999;7652;5241;99999;99999;99999;0;0;0;0;1;88888;88888;1;88888;2;99999;99999;99999;1;99999;99999;99999;2;1;99999;1;1;2;41;1;2;2;2;2;2;2;2;2;99999;1;2;4;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0,974884044;99999;99999;99999;2;186,6059741
20783;52;5241;43;20783-1;1;28;1995-06-18;99999;99999;2;2;99999;8;99999;1;1;20783-2;4;4;99999;2;1;20783-2;2;4;4;4;4;4;76;23;76231360;99999;99999;27;27;99999;99999;7652;5241;1;2;99999;1;0;1;0;1;2;1;2;2;1;1;1;41;1;1;2;22;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;2;2;2;1;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;900;923,1867174;0;0;30;900;923,1867174;0,974884044;1;2;2;4;210,7845276
12838;52;5241;43;12838-2;2;32;99999;99999;32;1;1;99999;10;99999;2;99999;99999;2;2;99999;2;1;12838-1;1;4;4;4;4;4;76;21;76210210;99999;99999;22;22;99999;99999;7652;5241;2;2;99999;1;0;0;1;1;2;1;2;2;1;1;1;41;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;5;2;2;2;99999;99999;2;99999;99999;1;5;0;44;1;29;1;2;2;2;2;2;2;99999;1;8;3;99999;99999;99999;1;1;1600;1625,589568;0;0;99999;99999;88888;99999;5;99999;99999;0,984258285;1;2;2;2;202,3018037
7158;52;5241;43;07158-1;1;34;1990-01-15;99999;99999;1;1;99999;10;99999;1;2;99999;4;3;99999;2;1;07158-2;1;4;4;4;4;4;76;53;7653;99999;99999;8;8;7653;765309;7652;5241;1;2;99999;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;10;2;2;2;99999;99999;2;99999;99999;1;16;0;40;1;1;2;1;2;2;2;2;2;99999;2;7;3;99999;99999;99999;1;1;1500;1523,99022;88888;99999;99999;99999;0;0;3;99999;99999;0,984258285;1;2;2;7;202,3018037
14531;52;5241;43;14531-2;2;21;99999;99999;21;1;1;99999;10;99999;2;99999;99999;4;1;99999;2;1;14531-1;2;4;4;4;4;4;76;22;76220770;99999;99999;0;0;7622;76220770;7622;76220770;2;1;7653;1;0;0;1;1;2;1;2;2;2;99999;99999;99999;1;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;6;1;1;2;99999;99999;2;99999;99999;1;0;4;48;1;2;1;2;2;2;2;2;2;99999;1;6;3;99999;99999;99999;2;2;1000;1025,763019;0;0;99999;99999;88888;99999;10;99999;99999;0,974884044;1;2;2;2;204,6578234
24805;52;5241;43;24805-1;1;48;99999;99999;48;2;2;99999;8;99999;1;1;24805-3;4;12;99999;2;1;24805-2;2;3;4;4;4;4;76;22;76220770;99999;99999;3;3;7621;76210090;7621;76210090;2;88888;99999;1;0;1;0;1;2;1;2;2;2;99999;99999;99999;2;1;3;20;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;88888;99999;99999;2;1;2;99999;99999;2;99999;99999;1;0;3;40;1;1;1;2;2;2;2;2;2;99999;1;7;4;99999;99999;99999;2;2;1412;1426,735747;0;0;800;808,3488653;88888;99999;14;99999;99999;0,989671705;1;2;2;8;171,5223175
4574;52;5241;43;04574-2;2;31;99999;99999;31;1;1;99999;10;99999;2;99999;99999;4;1;99999;2;1;04574-1;1;4;4;4;4;4;76;21;76210890;99999;99999;7;7;7653;765309;7652;5241;6;1;9;1;0;0;1;1;2;1;2;2;1;1;4;41;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;7;2;2;2;99999;99999;2;99999;99999;1;4;0;40;1;3;2;2;1;2;2;2;2;99999;3;6;7;99999;2;2;99999;2;88888;99999;0;0;99999;99999;88888;99999;2;99999;99999;0,984258285;1;2;2;2;202,3018037
3508;52;5241;43;03508-2;2;32;1991-06-23;99999;99999;1;1;99999;10;99999;2;99999;99999;4;3;99999;2;1;03508-1;1;2;4;4;4;4;76;29;76292840;99999;99999;32;32;99999;99999;7652;5241;99999;2;99999;1;0;1;0;1;2;1;2;2;1;1;4;41;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;7;1;1;2;99999;99999;2;99999;99999;1;2;0;40;1;3;2;2;2;2;1;2;2;99999;5;5;3;99999;99999;99999;1;1;1400;1436,068227;0;0;99999;99999;88888;99999;5;99999;99999;0,974884044;1;2;2;7;202,3018037
12421;52;5241;43;12421-2;2;54;99999;99999;54;1;1;99999;10;99999;2;99999;99999;4;3;99999;2;1;12421-1;2;3;4;4;4;4;76;31;76315340;99999;99999;24;24;99999;99999;7652;5241;6;1;3;1;0;0;1;1;1;1;1;2;1;1;1;41;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;8;2;4;2;2;2;99999;99999;2;99999;99999;1;17;0;36;1;1;1;2;2;2;2;2;2;99999;1;7;3;99999;99999;99999;1;1;1800;1818,784947;0;0;99999;99999;88888;99999;14;99999;99999;0,989671705;1;2;2;2;151,9940336
9462;52;5241;43;09462-4;4;20;99999;99999;20;1;1;99999;10;99999;4;99999;99999;4;1;99999;1;3;99999;2;4;4;4;4;4;76;53;7653;99999;99999;20;20;99999;99999;7652;5241;99999;2;99999;1;0;1;0;1;1;1;2;2;1;1;4;41;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;1;1;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;2;0;0;0,982195674;1;2;2;5;204,6578234
20650;52;5241;43;20650-1;1;62;1961-04-01;99999;99999;2;2;99999;8;99999;1;99999;99999;4;3;99999;4;2;99999;2;2;4;4;4;4;76;25;76251080;99999;99999;4;4;7625;76251080;7652;5241;1;99999;99999;1;0;1;0;1;2;1;2;2;1;1;1;41;2;1;3;15;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;2;1;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;150;153,8644529;20;150;153,8644529;0,974884044;1;2;2;4;123,9342705
11251;52;5241;43;11251-2;2;28;99999;99999;28;2;2;99999;8;99999;2;99999;99999;1;1;99999;2;1;11251-1;2;4;4;4;4;4;76;53;7653;99999;99999;1;1;7653;765309;7653;765309;1;1;7653;1;0;1;0;1;2;1;1;2;1;1;1;9;2;1;4;16;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;7;1;1;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;30;0;0;0,982195674;1;2;2;2;210,7845276
22046;52;5241;43;22046-1;1;44;1980-02-11;99999;99999;2;2;99999;8;99999;1;1;22046-2;4;12;99999;2;1;22046-2;2;2;4;4;4;4;76;53;7653;99999;99999;30;30;99999;99999;7652;5241;1;2;99999;1;0;1;0;1;1;1;1;2;1;1;4;41;2;1;3;17;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;8;2;2;2;99999;99999;2;99999;99999;1;11;0;40;1;41;2;2;2;2;2;2;1;99999;7;1;1;1;99999;99999;99999;1;4000;4028,04896;0;0;99999;99999;88888;99999;20;99999;99999;0,993036589;1;2;2;7;166,8641084
11720;52;5241;43;11720-2;2;24;1999-06-16;99999;99999;2;2;99999;8;99999;5;99999;99999;4;2;99999;1;2;99999;2;2;4;3;4;4;76;53;7653;99999;99999;7;7;7653;765309;7652;5241;4;2;99999;1;0;0;1;1;2;1;1;2;2;99999;99999;99999;2;2;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;1;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;20;0;0;0,982195674;1;2;2;5;231,1836467
12163;52;5241;43;12163-3;3;25;1998-05-31;99999;99999;1;1;99999;10;99999;5;99999;99999;2;5;99999;1;2;99999;1;4;4;4;4;4;76;53;7653;99999;99999;13;13;99999;99999;7652;5241;1;2;99999;1;0;1;0;1;1;1;1;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;1;2;99999;99999;2;99999;99999;1;0;6;36;1;20;2;2;2;2;2;1;2;99999;6;3;3;99999;99999;99999;1;1;2000;2020,872163;0;0;99999;99999;88888;99999;7;99999;99999;0,989671705;1;2;2;5;314,2108888
12279;52;5241;43;12279-1;1;70;1953-08-15;99999;99999;1;1;99999;10;99999;1;99999;99999;4;12;99999;4;2;99999;1;4;4;4;4;4;76;52;76520540;1;99999;23;23;99999;99999;7652;5241;6;99999;99999;1;0;0;1;1;2;1;2;2;1;1;4;41;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;5;2;2;1;1320;1354,007186;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;600;615,4578116;88888;1920;1969,464997;0,974884044;1;2;2;2;230,4670979
9771;52;5241;43;09771-2;2;29;1994-04-20;99999;99999;2;2;99999;8;99999;2;99999;99999;4;3;99999;2;1;09771-1;2;4;4;4;4;4;76;21;76211285;99999;99999;18;18;99999;99999;7652;5241;2;2;99999;1;0;1;0;1;2;1;2;2;1;1;1;41;2;1;3;21;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;6;1;1;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;40;0;0;0,974884044;1;2;2;2;210,7845276
9722;52;5241;43;09722-3;3;10;99999;99999;10;2;99999;99999;99999;99999;4;99999;99999;4;3;99999;99999;99999;99999;99999;3;4;4;4;4;76;52;76520870;2;2;99999;99999;99999;99999;99999;5241;99999;99999;99999;0;0;0;0;2;99999;99999;99999;99999;2;99999;99999;99999;1;2;99999;99999;1;1;99999;1;1;2;41;2;2;2;2;2;2;2;1;2;99999;8;1;4;5;99999;99999;99999;99999;99999;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;7;0;0;0,989671705;99999;99999;99999;2;188,2678855
15476;52;5241;43;15476-1;1;52;99999;99999;52;2;2;99999;5;99999;1;1;15476-2;2;2;99999;2;1;15476-2;1;4;4;4;4;4;76;29;76293030;99999;99999;25;25;99999;99999;7652;5241;88888;2;99999;1;0;1;0;1;2;1;2;2;2;99999;99999;99999;2;2;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;1;3;2;2;2;99999;99999;2;99999;99999;1;4;0;60;1;41;2;2;2;2;2;2;1;99999;7;1;7;99999;1;1;99999;1;88888;99999;0;0;99999;99999;88888;99999;10;99999;99999;0,974884044;1;2;2;5;107,6092576
10390;52;5241;43;10390-5;5;1;99999;99999;1;2;99999;99999;99999;99999;5;99999;99999;4;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;76;52;76520320;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0;0;2;99999;99999;99999;99999;2;99999;99999;99999;2;99999;99999;99999;99999;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0,974884044;99999;99999;99999;8;241,2187412
23737;52;5241;43;23737-3;3;27;99999;99999;27;2;2;99999;8;99999;10;99999;99999;1;3;99999;1;3;99999;1;4;4;4;4;4;76;53;7653;99999;99999;27;27;99999;99999;7652;5241;99999;2;99999;2;0;1;0;1;1;1;2;2;1;1;1;41;2;2;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;14;1;10;2;2;2;99999;99999;2;99999;99999;1;2;0;40;1;9;1;2;2;2;2;2;2;99999;1;4;3;99999;99999;99999;1;1;88888;99999;0;0;99999;99999;88888;99999;1;99999;99999;0,982195674;1;2;2;7;210,7845276
9722;52;5241;43;09722-4;4;8;99999;99999;8;1;99999;99999;99999;99999;4;99999;99999;1;3;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;99999;99999;8;8;99999;99999;7652;5241;99999;99999;99999;0;1;0;0;1;1;2;2;2;2;99999;99999;99999;1;99999;99999;99999;2;1;99999;1;1;2;41;2;2;2;2;2;2;2;1;2;99999;8;1;4;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0,989671705;99999;99999;99999;2;186,6059741
6837;52;5241;43;06837-5;5;7;99999;99999;7;1;99999;99999;99999;99999;10;99999;99999;4;1;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;99999;99999;7;7;99999;99999;7652;5241;99999;99999;99999;1;0;0;0;1;2;1;2;2;2;99999;99999;99999;2;99999;99999;99999;1;1;99999;1;1;1;41;2;1;2;2;2;2;2;2;2;99999;2;1;4;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0,989671705;99999;99999;99999;2;186,6059741
22631;52;5241;43;22631-2;2;48;99999;99999;48;2;2;99999;8;99999;5;99999;99999;4;3;99999;1;2;99999;2;2;2;2;2;2;76;53;7653;99999;99999;25;25;99999;99999;7652;5241;1;2;99999;1;0;1;0;1;2;1;2;2;1;1;1;41;2;1;1;20;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;4;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;88888;0;0;0,989671705;1;2;2;2;171,5223175
7889;52;5241;43;07889-4;4;11;2012-01-17;99999;99999;1;99999;99999;99999;99999;4;99999;99999;1;4;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;99999;99999;11;11;99999;99999;7652;5241;99999;99999;99999;0;0;0;0;1;2;1;1;88888;1;1;4;41;2;99999;99999;99999;1;1;99999;1;1;1;41;2;2;2;2;2;2;2;2;1;99999;9;1;4;7;99999;99999;99999;99999;99999;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;2;0;0;0,974884044;99999;99999;99999;2;242,5069477
14209;52;5241;43;14209-1;1;58;99999;99999;58;1;1;99999;10;99999;1;1;14209-2;4;1;99999;2;1;14209-2;2;2;2;2;3;4;76;25;76251210;99999;99999;28;28;99999;99999;7652;5241;6;2;99999;1;0;0;1;1;2;1;2;2;1;1;4;1;2;99999;99999;99999;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;2;1;1320;1354,007186;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;1;1320;1354,007186;0,974884044;1;2;2;8;105,8383827
24683;52;5241;43;24683-2;2;10;99999;99999;10;2;99999;99999;99999;99999;5;99999;99999;4;2;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;99999;99999;10;10;99999;99999;7652;5241;99999;99999;99999;0;1;0;0;1;2;1;1;2;2;99999;99999;99999;2;2;99999;99999;1;1;99999;1;1;2;41;2;2;2;2;2;2;2;2;1;99999;9;1;4;5;99999;99999;99999;99999;99999;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;7;0;0;0,989671705;99999;99999;99999;2;188,2678855
24683;52;5241;43;24683-1;1;45;1978-08-13;99999;99999;2;2;99999;8;99999;1;99999;99999;4;2;99999;4;2;99999;2;2;4;4;4;4;76;26;76261160;99999;99999;20;20;99999;99999;7652;5241;1;1;9;1;0;0;1;1;2;1;1;2;2;99999;99999;99999;2;1;3;24;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;7;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;700;707,3052571;0;0;20;700;707,3052571;0,989671705;1;2;2;2;171,5223175
11826;52;5241;43;11826-1;1;79;1944-07-02;99999;99999;2;2;99999;8;99999;1;2;99999;4;1;99999;5;2;99999;2;4;4;4;4;4;76;31;76313520;99999;99999;30;30;99999;99999;7652;5241;6;2;99999;0;0;0;0;2;99999;99999;99999;99999;1;2;2;41;2;1;9;30;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;2;1;1412;1426,735747;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;40;1412;1426,735747;0,989671705;1;2;2;8;117,9957072
2461;52;5241;43;02461-4;4;7;99999;99999;7;2;99999;99999;99999;99999;4;99999;99999;4;2;99999;99999;99999;99999;99999;4;4;4;4;4;76;53;7653;99999;99999;7;7;99999;99999;7652;5241;99999;99999;99999;1;0;0;0;1;2;1;1;2;1;1;1;41;2;99999;99999;99999;1;1;99999;1;1;2;41;2;2;2;2;2;2;2;2;1;99999;9;1;4;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0,989671705;99999;99999;99999;2;282,7865299
10084;52;5241;43;10084-1;1;56;1968-02-04;99999;99999;1;1;99999;10;99999;1;99999;99999;4;1;99999;1;2;99999;2;2;4;2;4;4;76;53;7653;99999;99999;23;23;99999;99999;7652;5241;1;99999;99999;1;0;0;1;1;2;1;2;2;1;1;4;41;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;7;2;2;1;1412;1426,735747;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;12;1412;1426,735747;0,989671705;1;2;2;2;105,8383827
23937;52;5241;43;23937-4;4;20;99999;99999;20;1;1;99999;10;99999;5;99999;99999;4;4;99999;1;3;99999;2;4;4;4;4;4;76;53;7653;99999;99999;20;20;99999;99999;7652;5241;99999;1;7653;1;0;1;0;1;2;1;1;2;2;99999;99999;99999;2;99999;99999;99999;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;9;2;3;2;2;2;99999;99999;2;99999;99999;1;1;0;40;1;41;2;2;2;2;2;1;2;99999;6;1;3;99999;99999;99999;1;1;1340;1374,522446;0;0;99999;99999;88888;99999;0;99999;99999;0,974884044;1;2;2;4;204,6578234
17863;52;5241;43;17863-1;1;54;1969-09-26;99999;99999;2;2;99999;8;99999;1;1;17863-2;4;2;99999;2;1;17863-2;2;2;4;4;4;4;76;23;76231290;99999;99999;27;27;99999;99999;7652;5241;1;2;99999;1;0;0;1;1;2;1;2;2;1;1;1;9;1;1;4;23;1;2;1;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;7;2;3;2;2;2;99999;99999;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;0;0;40;0;0;0,974884044;1;2;2;2;107,6092576
1510;52;5241;43;01510-4;4;7;99999;99999;7;1;99999;99999;99999;99999;4;99999;99999;1;2;99999;99999;99999;99999;99999;3;4;4;4;4;76;53;7653;99999;99999;0;0;7653;765321;7653;765321;1;99999;99999;1;0;0;1;1;1;1;1;2;1;2;4;21;1;99999;99999;99999;1;1;99999;2;1;2;41;2;2;1;2;2;2;2;2;2;99999;3;1;4;3;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;0;0;0,989671705;99999;99999;99999;2;186,6059741
22371;52;5241;43;22371-2;2;28;1995-05-24;99999;99999;2;2;99999;8;99999;4;99999;99999;4;12;99999;1;3;99999;2;4;3;3;2;2;76;22;76220980;99999;99999;28;28;99999;99999;7652;5241;99999;2;99999;0;0;0;0;2;99999;99999;99999;99999;1;1;1;9;2;2;99999;99999;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;2;1;1320;1354,007186;2;99999;99999;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;99999;99999;99999;99999;99999;99999;100;102,5763019;0;1420;1456,583488;0,974884044;1;2;2;8;210,7845276
